frameID,BVH,gBuffer,shadowMask,lighting,copy
0,0.0012608,5.54211,6.91987,1.82182,0.13369
1,0.0013056,6.29452,6.87953,1.75219,0.122822
2,0.0012416,7.49061,6.85576,1.59575,0.112922
3,0.0012224,7.69638,6.96228,1.60115,0.126362
4,0.0012736,7.68988,7.05845,1.6015,0.131718
5,0.0022272,7.56445,7.17355,1.63967,0.124781
6,0.00128,7.10875,7.20998,1.72387,0.158272
7,0.0012928,7.52629,7.3861,1.87555,0.145856
8,0.0012736,7.50484,7.60927,1.85978,0.138042
9,0.0012608,8.10677,7.52051,1.60235,0.134074
10,0.0013632,7.54504,7.52909,1.78499,0.138035
11,0.0012928,7.39288,7.66186,1.87718,0.150003
12,0.0012672,8.17065,7.59868,1.65873,0.128218
13,0.0013056,8.01481,7.66888,1.83342,0.147827
14,0.00128,8.88213,7.71219,1.70429,0.131699
15,0.0012416,8.7609,7.72877,1.73551,0.137978
16,0.00128,8.75576,7.42613,1.78746,0.142899
17,0.0012928,9.66262,7.10543,1.71894,0.145293
18,0.00128,8.86877,7.20141,1.81902,0.147578
19,0.00128,9.28577,7.23976,1.76225,0.14528
20,0.0012544,8.78533,7.3482,1.63572,0.134323
21,0.0012736,8.58668,7.41099,1.79939,0.13991
22,0.0012096,8.78222,7.4134,1.62796,0.130528
23,0.0012736,7.68364,7.55896,1.83638,0.14208
24,0.0012608,8.20066,7.71726,1.67777,0.133344
25,0.0012672,8.15679,7.43637,1.70698,0.137587
26,0.00128,7.78828,7.64472,1.83316,0.143917
27,0.0012608,8.17539,7.37002,1.62892,0.143821
28,0.00128,7.90782,6.82968,1.74611,0.135238
29,0.0012736,8.55297,6.97846,1.85776,0.153267
30,0.0012736,9.2833,7.27807,1.85582,0.147366
31,0.00128,9.07425,7.23123,1.77775,0.15335
32,0.00128,9.08455,7.05189,1.86851,0.158419
33,0.0012544,9.37597,6.94933,1.74962,0.153741
34,0.0012672,8.72708,6.8978,1.88305,0.157811
35,0.0013056,9.33129,6.79625,1.68899,0.150131
36,0.001248,8.88325,6.91309,1.84037,0.155443
37,0.0012352,9.51128,6.86551,1.69324,0.147565
38,0.0012928,9.45229,6.94621,1.77235,0.153453
39,0.0012864,9.07196,6.97675,1.85229,0.150656
40,0.0012864,9.49832,6.91049,1.67928,0.136979
41,0.0012672,8.84543,7.15368,1.81841,0.158355
42,0.00128,9.19308,6.95526,1.69103,0.144243
43,0.001312,8.90504,7.03786,1.80632,0.149664
44,0.0012736,9.15889,7.08464,1.77519,0.147392
45,0.0012928,9.25315,6.99587,1.65713,0.144627
46,0.00128,8.89779,7.11481,1.84463,0.148979
47,0.00128,9.36941,7.2306,1.72978,0.140806
48,0.0012672,8.78648,7.25054,1.84497,0.1408
49,0.0012864,9.0062,7.26287,1.71823,0.188826
50,0.0012736,8.42518,7.40394,1.78592,0.139488
51,0.0012736,8.58765,7.4126,1.76535,0.13991
52,0.0012736,8.59062,7.67436,1.72838,0.130515
53,0.0012992,8.37713,7.44907,1.8019,0.135987
54,0.0012864,8.85414,7.23594,1.65336,0.131987
55,0.0012864,8.24019,6.90655,1.74385,0.128013
56,0.00128,8.38008,6.97638,1.86067,0.141638
57,0.0013056,9.00021,6.84683,1.69425,0.134861
58,0.0012736,8.56915,7.24922,1.86524,0.14951
59,0.0014016,9.23044,6.92937,1.72979,0.144326
60,0.0012736,8.27652,6.84046,1.8766,0.156749
61,0.0012928,8.52906,6.83018,1.7201,0.145158
62,0.0012736,8.55484,6.68531,1.63059,0.147277
63,0.0012544,8.11873,6.82225,1.87611,0.156288
64,0.0012864,8.07116,6.93018,1.8706,0.150125
65,0.0012992,8.7569,6.70679,1.61388,0.147258
66,0.00192,8.14033,6.49437,1.68952,0.139098
67,0.00128,7.60327,6.48621,1.73745,0.135181
